val_acc;test_acc;config
0.7826704382896423;0.7450283765792847;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/angular'], 'l2': 0.0, 'version': 65, 'trial': 0}
0.359375;0.328125;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/thin'], 'l2': 0.1, 'version': 72, 'trial': 0}
0.5705645084381104;0.586693525314331;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/flat'], 'l2': 0.1, 'version': 78, 'trial': 0}
0.5559475421905518;0.5569556355476379;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/flat'], 'l2': 0.001, 'version': 79, 'trial': 0}
0.5856854915618896;0.5403225421905518;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/flat'], 'l2': 0.0, 'version': 80, 'trial': 0}
0.6355847120285034;0.5246975421905518;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/flat'], 'l2': 0.1, 'version': 81, 'trial': 0}
0.5892137289047241;0.7006047964096069;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/flat'], 'l2': 0.001, 'version': 82, 'trial': 0}
0.6527217626571655;0.555443525314331;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/flat'], 'l2': 0.0, 'version': 83, 'trial': 0}
0.25;0.75;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/pipe'], 'l2': 0.1, 'version': 84, 'trial': 0}
0.5;0.25;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/pipe'], 'l2': 0.001, 'version': 85, 'trial': 0}
0.25;0.5;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/pipe'], 'l2': 0.0, 'version': 86, 'trial': 0}
0.5;0.75;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/pipe'], 'l2': 0.1, 'version': 87, 'trial': 0}
0.25;0.75;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/pipe'], 'l2': 0.001, 'version': 88, 'trial': 0}
0.5;0.5;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/pipe'], 'l2': 0.0, 'version': 89, 'trial': 0}
0.9076704978942871;0.9616477489471436;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/cog'], 'l2': 0.1, 'version': 90, 'trial': 0}
0.96875;0.9772727489471436;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/cog'], 'l2': 0.001, 'version': 91, 'trial': 0}
1.0;0.9460227489471436;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/cog'], 'l2': 0.0, 'version': 92, 'trial': 0}
0.9772727489471436;0.9076704978942871;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/cog'], 'l2': 0.1, 'version': 93, 'trial': 0}
1.0;0.9161931872367859;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/cog'], 'l2': 0.001, 'version': 94, 'trial': 0}
0.984375;0.9460227489471436;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/cog'], 'l2': 0.0, 'version': 95, 'trial': 0}
0.949999988079071;0.8500000238418579;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/text'], 'l2': 0.1, 'version': 96, 'trial': 0}
0.8999999761581421;0.8999999761581421;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/text'], 'l2': 0.001, 'version': 97, 'trial': 0}
0.8999999761581421;0.949999988079071;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/text'], 'l2': 0.0, 'version': 98, 'trial': 0}
0.8999999761581421;0.949999988079071;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/text'], 'l2': 0.1, 'version': 99, 'trial': 0}
0.800000011920929;0.949999988079071;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/text'], 'l2': 0.001, 'version': 100, 'trial': 0}
0.949999988079071;0.949999988079071;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/text'], 'l2': 0.0, 'version': 101, 'trial': 0}
0.5714285969734192;1.0;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/electric'], 'l2': 0.1, 'version': 102, 'trial': 0}
0.8571428656578064;0.4285714328289032;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/electric'], 'l2': 0.001, 'version': 103, 'trial': 0}
0.5714285969734192;1.0;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/electric'], 'l2': 0.0, 'version': 104, 'trial': 0}
0.4285714328289032;0.7142857313156128;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/electric'], 'l2': 0.1, 'version': 105, 'trial': 0}
0.4285714328289032;0.4285714328289032;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/electric'], 'l2': 0.001, 'version': 106, 'trial': 0}
0.4285714328289032;1.0;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/electric'], 'l2': 0.0, 'version': 107, 'trial': 0}
0.8125;1.0;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/screw'], 'l2': 0.1, 'version': 108, 'trial': 0}
0.9375;0.9375;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/screw'], 'l2': 0.001, 'version': 109, 'trial': 0}
0.8125;0.875;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/screw'], 'l2': 0.0, 'version': 110, 'trial': 0}
0.75;0.9375;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/screw'], 'l2': 0.1, 'version': 111, 'trial': 0}
0.8125;1.0;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/screw'], 'l2': 0.001, 'version': 112, 'trial': 0}
0.875;1.0;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/screw'], 'l2': 0.0, 'version': 113, 'trial': 0}
0.9963942766189575;0.9963942766189575;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.1, 'version': 114, 'trial': 0}
0.998798131942749;0.9951923489570618;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.001, 'version': 115, 'trial': 0}
1.0;0.9975962042808533;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.0, 'version': 116, 'trial': 0}
0.9963942766189575;0.998798131942749;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.1, 'version': 117, 'trial': 0}
0.998798131942749;0.9963942766189575;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.001, 'version': 118, 'trial': 0}
0.9963942766189575;0.9975962042808533;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/cookie_cutter', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.0, 'version': 119, 'trial': 0}
